"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SaG+","ok",0,0.0835881,2,2,3,8,1,2,0,0,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"Autfilt+","ok",0,0.00430136,2,2,3,8,1,2,0,0,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"Seminator+","ok",0,0.0141948,2,2,3,8,1,2,0,0,0
"random_automata.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"Kofola+","ok",0,0.0141506,2,2,3,8,1,2,0,0,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SaG+","ok",0,0.0955386,2,32,87,120,1,15,7,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"Autfilt+","ok",0,0.00624436,2,16,38,54,1,7,3,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"Seminator+","ok",0,0.0164935,2,17,42,60,1,7,5,1,0
"random_automata.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"Kofola+","ok",0,0.0135989,2,17,40,58,1,7,2,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SaG+","ok",0,0.165128,2,102,325,356,1,10,3,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"Autfilt+","ok",0,0.00881245,2,41,157,170,1,4,17,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"Seminator+","ok",0,0.0479166,2,65,197,218,1,6,9,1,0
"random_automata.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"Kofola+","ok",0,0.0221576,2,41,158,171,1,4,18,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SaG+","ok",0,0.0856826,2,36,111,131,1,14,3,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"Autfilt+","ok",0,0.00508721,2,10,33,40,1,3,3,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"Seminator+","ok",0,0.0143529,2,10,28,35,1,3,1,1,0
"random_automata.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"Kofola+","ok",0,0.0120252,2,10,33,40,1,3,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SaG+","ok",0,0.0760199,2,15,38,61,1,7,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"Autfilt+","ok",0,0.00385519,2,11,23,38,1,5,1,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"Seminator+","ok",0,0.0130902,2,9,19,32,1,5,3,1,0
"random_automata.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"Kofola+","ok",0,0.0118762,2,11,23,38,1,5,1,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SaG+","ok",0,0.166572,2,99,367,399,1,17,24,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"Autfilt+","ok",0,0.0160552,2,60,220,235,1,7,16,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"Seminator+","ok",0,0.0764555,2,72,232,251,1,17,29,1,0
"random_automata.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"Kofola+","ok",0,0.0208149,2,60,220,235,1,7,17,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SaG+","ok",0,0.074508,2,17,47,57,1,6,2,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"Autfilt+","ok",0,0.00521182,2,8,22,30,1,3,2,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"Seminator+","ok",0,0.0133455,2,9,25,33,1,4,2,1,0
"random_automata.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"Kofola+","ok",0,0.0122167,2,8,22,30,1,3,2,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SaG+","ok",0,0.0959485,2,55,176,211,1,17,7,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"Autfilt+","ok",0,0.00670598,2,27,86,103,1,5,9,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"Seminator+","ok",0,0.0175906,2,28,80,95,1,5,5,1,0
"random_automata.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"Kofola+","ok",0,0.0149609,2,27,86,103,1,5,10,1,0
"random_automata.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"SaG+","ok",0,0.937771,2,273,937,1026,1,64,60,1,0
"random_automata.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"Autfilt+","ok",0,0.123579,2,172,589,653,1,13,35,1,0
"random_automata.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"Seminator+","ok",0,12.2522,2,181,582,617,1,78,73,1,0
"random_automata.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"Kofola+","ok",0,0.0784857,2,145,484,537,1,13,27,1,0
"random_automata.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"SaG+","ok",0,0.293699,2,157,602,640,1,23,34,1,0
"random_automata.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"Autfilt+","ok",0,0.0357603,2,124,469,490,1,9,43,1,0
"random_automata.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"Seminator+","ok",0,0.231995,2,111,395,422,1,18,51,1,0
"random_automata.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"Kofola+","ok",0,0.0344948,2,121,468,487,1,9,36,1,0
"random_automata.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"SaG+","ok",0,0.0991211,2,72,252,278,1,16,13,1,0
"random_automata.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"Autfilt+","ok",0,0.00640516,2,22,75,84,1,5,9,1,0
"random_automata.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"Seminator+","ok",0,0.0188728,2,28,90,101,1,7,7,1,0
"random_automata.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"Kofola+","ok",0,0.0137269,2,22,75,84,1,5,9,1,0
"random_automata.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"SaG+","ok",0,0.230271,2,128,426,470,1,17,15,1,0
"random_automata.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"Autfilt+","ok",0,0.0168232,2,56,193,209,1,5,21,1,0
"random_automata.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"Seminator+","ok",0,0.0778625,2,71,212,234,1,11,23,1,0
"random_automata.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"Kofola+","ok",0,0.0179196,2,49,174,188,1,4,19,1,0
"random_automata.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"SaG+","ok",0,2.17079,2,113,456,481,1,24,35,1,0
"random_automata.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"Autfilt+","ok",0,0.00989381,2,52,199,213,1,9,19,1,0
"random_automata.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"Seminator+","ok",0,0.125548,2,57,197,213,1,20,20,1,0
"random_automata.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"Kofola+","ok",0,0.019232,2,52,198,212,1,9,18,1,0
"random_automata.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"SaG+","ok",0,0.0774017,2,12,32,43,1,4,2,1,0
"random_automata.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"Autfilt+","ok",0,0.004313,2,11,28,36,1,3,3,1,0
"random_automata.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"Seminator+","ok",0,0.012483,2,12,31,40,1,4,2,1,0
"random_automata.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"Kofola+","ok",0,0.0126706,2,11,30,41,1,3,2,1,0
"random_automata.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"SaG+","ok",0,0.0937144,2,54,195,214,1,15,8,1,0
"random_automata.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"Autfilt+","ok",0,0.00716434,2,25,89,98,1,6,10,1,0
"random_automata.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"Seminator+","ok",0,0.0164425,2,29,95,104,1,7,7,1,0
"random_automata.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"Kofola+","ok",0,0.0136366,2,25,90,99,1,6,10,1,0
"random_automata.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"SaG+","ok",0,0.0703389,2,7,19,28,1,3,2,1,0
"random_automata.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"Autfilt+","ok",0,0.00386407,2,7,17,25,1,3,2,1,0
"random_automata.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"Seminator+","ok",0,0.0116604,2,8,21,30,1,4,2,1,0
"random_automata.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"Kofola+","ok",0,0.0111206,2,7,19,28,1,3,2,1,0
"random_automata.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"SaG+","ok",0,0.0813935,2,36,111,125,1,3,2,1,0
"random_automata.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"Autfilt+","ok",0,0.00544046,2,31,115,129,1,3,12,1,0
"random_automata.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"Seminator+","ok",0,0.0154417,2,32,101,114,1,4,3,1,0
"random_automata.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"Kofola+","ok",0,0.0133138,2,31,115,129,1,3,12,1,0
"random_automata.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"SaG+","ok",0,0.0783176,2,11,27,39,1,7,2,1,0
"random_automata.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"Autfilt+","ok",0,0.00452321,2,8,20,29,1,4,1,1,0
"random_automata.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"Seminator+","ok",0,0.0124143,2,9,23,33,1,5,2,1,0
"random_automata.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"Kofola+","ok",0,0.0157345,2,8,20,30,1,4,1,1,0
"random_automata.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"SaG+","ok",0,0.0852524,3,21,70,143,1,7,4,1,0
"random_automata.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"Autfilt+","ok",0,0.00477698,3,13,39,75,1,4,3,1,0
"random_automata.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"Seminator+","ok",0,0.0130001,3,14,38,80,1,5,2,1,0
"random_automata.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"Kofola+","ok",0,0.0118595,3,13,39,75,1,4,3,1,0
"random_automata.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"SaG+","ok",0,0.0736818,3,7,18,45,1,4,1,1,0
"random_automata.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"Autfilt+","ok",0,0.00444803,3,7,17,39,1,4,2,1,0
"random_automata.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"Seminator+","ok",0,0.0114006,3,8,21,48,1,5,3,1,0
"random_automata.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"Kofola+","ok",0,0.0109395,3,7,17,39,1,4,2,1,0
"random_automata.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"SaG+","ok",0,0.089527,3,46,134,287,1,13,5,1,0
"random_automata.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"Autfilt+","ok",0,0.00541751,3,22,60,123,1,6,6,1,0
"random_automata.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"Seminator+","ok",0,0.0181367,3,20,54,115,1,6,4,1,0
"random_automata.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"Kofola+","ok",0,0.0149121,3,22,60,123,1,6,6,1,0
"random_automata.hoa:774.1-808.7",,3,7,19,19,2,1,2,1,0,"SaG+","ok",0,0.319209,3,143,613,977,1,18,18,1,0
"random_automata.hoa:774.1-808.7",,3,7,19,19,2,1,2,1,0,"Autfilt+","ok",0,0.0119506,3,49,240,346,1,4,23,1,0
"random_automata.hoa:774.1-808.7",,3,7,19,19,2,1,2,1,0,"Seminator+","ok",0,0.0896389,3,84,305,459,1,12,29,1,0
"random_automata.hoa:774.1-808.7",,3,7,19,19,2,1,2,1,0,"Kofola+","ok",0,0.0192839,3,49,238,344,1,4,24,1,0
"random_automata.hoa:809.1-837.7",,3,6,14,14,2,1,2,1,0,"SaG+","ok",0,0.131211,3,68,234,414,1,12,9,1,0
"random_automata.hoa:809.1-837.7",,3,6,14,14,2,1,2,1,0,"Autfilt+","ok",0,0.00682855,3,26,102,168,1,4,10,1,0
"random_automata.hoa:809.1-837.7",,3,6,14,14,2,1,2,1,0,"Seminator+","ok",0,0.0231231,3,27,88,154,1,4,3,1,0
"random_automata.hoa:809.1-837.7",,3,6,14,14,2,1,2,1,0,"Kofola+","ok",0,0.0157469,3,26,100,166,1,4,10,1,0
"random_automata.hoa:838.1-855.7",,3,4,5,5,2,1,0,0,0,"SaG+","ok",0,0.0738334,3,10,19,60,1,4,1,1,0
"random_automata.hoa:838.1-855.7",,3,4,5,5,2,1,0,0,0,"Autfilt+","ok",0,0.00539655,3,10,17,47,1,4,2,1,0
"random_automata.hoa:838.1-855.7",,3,4,5,5,2,1,0,0,0,"Seminator+","ok",0,0.0141724,3,12,23,64,1,5,2,1,0
"random_automata.hoa:838.1-855.7",,3,4,5,5,2,1,0,0,0,"Kofola+","ok",0,0.0144524,3,10,21,68,1,4,2,1,0
"random_automata.hoa:856.1-887.7",,3,7,16,16,2,1,2,1,0,"SaG+","ok",0,0.154141,3,93,331,584,1,13,9,1,0
"random_automata.hoa:856.1-887.7",,3,7,16,16,2,1,2,1,0,"Autfilt+","ok",0,0.0101913,3,43,159,258,1,4,13,1,0
