,input.source,input.ap,input.states,input.edges,input.transitions,Acceptance Sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,Base,Skip,Jump,SkipJump,BaseMin,SkipMin,JumpMin,SkipJumpMin
165,random_automata.hoa:4337.1-4367.7,2,7,15,15,4,1,2,1,0,1767,1516,1767,1516,342,342,342,342
166,random_automata.hoa:4368.1-4401.7,2,7,18,18,4,1,1,1,0,1787,1527,1787,1527,260,260,260,260
167,random_automata.hoa:4402.1-4430.7,2,7,13,13,4,2,1,1,0,352,300,368,295,126,126,113,113
168,random_automata.hoa:4431.1-4447.7,2,3,5,5,4,1,1,1,0,158,141,41,24,44,44,20,20
169,random_automata.hoa:4448.1-4479.7,2,7,16,16,4,2,2,1,0,5768,4656,5768,4656,1024,1024,1024,1024
170,random_automata.hoa:4480.1-4512.7,2,7,17,17,4,1,3,1,0,1129,957,564,467,229,229,126,126
171,random_automata.hoa:4513.1-4527.7,2,2,4,4,4,1,1,1,0,130,118,48,36,39,39,18,18
172,random_automata.hoa:4528.1-4555.7,2,6,13,13,4,1,0,0,0,63,56,61,54,49,49,46,46
173,random_automata.hoa:4556.1-4584.7,2,7,13,13,4,2,2,1,0,505,424,440,356,107,107,92,92
174,random_automata.hoa:4585.1-4614.7,2,7,14,14,4,2,2,1,0,113,99,106,92,59,59,50,50
175,random_automata.hoa:4615.1-4638.7,2,5,10,10,4,1,2,1,0,249,203,143,109,91,91,64,64
176,random_automata.hoa:4639.1-4661.7,2,5,9,9,4,1,1,1,0,239,208,118,93,67,67,38,38
177,random_automata.hoa:4662.1-4692.7,2,7,15,15,4,2,2,1,0,316,276,298,258,89,89,85,85
178,random_automata.hoa:4693.1-4713.7,2,4,8,8,4,1,2,1,0,294,281,174,161,105,105,79,79
179,random_automata.hoa:4714.1-4743.7,2,6,15,15,4,1,3,1,0,2346,2153,1101,985,676,676,361,361
180,random_automata.hoa:4744.1-4768.7,2,5,11,11,4,1,4,1,0,190,181,261,232,102,102,101,101
181,random_automata.hoa:4769.1-4787.7,2,4,6,6,4,1,0,0,0,41,36,22,17,25,25,8,8
182,random_automata.hoa:4788.1-4811.7,2,5,10,10,4,2,0,0,0,38,33,38,33,23,23,23,23
183,random_automata.hoa:4812.1-4837.7,3,6,11,11,4,2,1,1,0,146,128,146,128,62,62,62,62
184,random_automata.hoa:4838.1-4866.7,3,7,13,13,4,1,0,0,0,60,52,36,28,42,42,23,23
185,random_automata.hoa:4867.1-4898.7,3,7,16,16,4,1,2,1,0,497,451,254,217,140,140,102,102
186,random_automata.hoa:4899.1-4928.7,3,6,15,15,4,1,1,1,0,211,180,211,180,44,44,42,42
187,random_automata.hoa:4929.1-4954.7,3,6,11,11,4,1,1,1,0,220,196,220,196,66,66,66,66
188,random_automata.hoa:4955.1-4986.7,3,7,16,16,4,1,2,1,0,493,461,453,421,104,104,88,88
189,random_automata.hoa:4987.1-5018.7,3,7,16,16,4,1,2,1,0,570,503,570,503,119,119,119,119
190,random_automata.hoa:5019.1-5051.7,3,7,17,17,4,1,2,1,0,493,443,479,429,118,118,105,105
191,random_automata.hoa:5052.1-5082.7,3,7,15,15,4,1,0,0,0,62,54,60,52,45,45,43,43
192,random_automata.hoa:5083.1-5104.7,3,4,9,9,4,3,1,1,0,41,36,35,30,15,15,13,13
193,random_automata.hoa:5105.1-5134.7,3,7,14,14,4,1,1,1,0,419,367,419,367,128,128,128,128
194,random_automata.hoa:5135.1-5161.7,3,6,12,12,4,1,1,1,0,444,401,420,377,92,92,88,88
195,random_automata.hoa:5162.1-5182.7,3,4,8,8,4,1,1,1,0,98,81,83,66,20,20,20,20
196,random_automata.hoa:5183.1-5205.7,3,5,9,9,4,1,1,1,0,231,205,231,205,79,79,79,79
197,random_automata.hoa:5206.1-5229.7,3,5,10,10,4,3,0,0,0,50,47,49,46,38,38,27,27
198,random_automata.hoa:5230.1-5263.7,3,7,18,18,4,1,4,1,0,508,455,407,347,130,130,100,100
199,random_automata.hoa:5264.1-5293.7,3,7,14,14,4,1,1,1,0,427,386,350,273,102,102,78,78
200,random_automata.hoa:5294.1-5314.7,3,4,8,8,4,1,0,0,0,43,38,41,36,29,29,21,21
201,random_automata.hoa:5315.1-5342.7,3,6,13,13,4,1,3,1,0,457,427,431,395,152,152,118,118
202,random_automata.hoa:5343.1-5376.7,3,7,18,18,4,1,2,1,0,856,736,407,349,222,222,166,166
203,random_automata.hoa:5377.1-5400.7,3,5,10,10,4,1,1,1,0,169,144,71,52,41,41,23,23
204,random_automata.hoa:5401.1-5427.7,3,5,13,13,4,1,2,1,0,281,232,133,107,80,80,58,58
205,random_automata.hoa:5428.1-5461.7,3,7,18,18,4,1,2,1,0,530,487,471,428,117,117,117,117
206,random_automata.hoa:5462.1-5496.7,4,7,19,19,4,1,3,1,0,589,556,561,528,155,155,153,153
207,random_automata.hoa:5497.1-5516.7,4,4,7,7,4,3,0,0,0,31,27,31,27,10,10,9,9
208,random_automata.hoa:5517.1-5543.7,4,6,12,12,4,1,2,1,0,230,199,216,185,79,79,82,82
209,random_automata.hoa:5544.1-5564.7,4,4,8,8,4,1,0,0,0,39,34,37,32,25,25,21,21
210,random_automata.hoa:5565.1-5596.7,4,7,16,16,4,2,0,0,0,59,52,59,52,35,35,35,35
211,random_automata.hoa:5597.1-5624.7,4,6,13,13,4,1,1,1,0,310,293,231,214,113,113,109,109
212,random_automata.hoa:5625.1-5659.7,4,7,19,19,4,2,2,1,0,490,426,490,426,125,125,125,125
213,random_automata.hoa:5660.1-5692.7,4,7,17,17,4,1,0,0,0,72,64,56,48,44,44,42,42
214,random_automata.hoa:5693.1-5720.7,4,6,13,13,4,1,0,0,0,61,54,55,48,45,45,33,33
215,random_automata.hoa:5721.1-5753.7,4,7,17,17,4,2,1,1,0,724,641,795,712,159,159,162,162
216,random_automata.hoa:5754.1-5785.7,4,7,16,16,4,1,0,0,0,69,61,65,57,47,47,37,37
217,random_automata.hoa:5786.1-5809.7,4,6,9,9,4,1,0,0,0,41,34,25,18,27,27,15,15
218,random_automata.hoa:5810.1-5835.7,4,5,12,12,4,1,1,1,0,289,270,289,270,84,84,68,68
219,random_automata.hoa:5836.1-5859.7,4,5,10,10,4,1,0,0,0,54,48,42,36,41,41,31,31
220,random_automata.hoa:5860.1-5893.7,4,7,18,18,4,1,1,1,0,688,605,640,557,167,167,167,167
221,random_automata.hoa:5894.1-5922.7,4,6,14,14,4,1,1,1,0,241,212,227,198,88,88,82,82
222,random_automata.hoa:5923.1-5958.7,4,7,20,20,4,2,1,1,0,119,106,115,102,43,43,41,41
223,random_automata.hoa:5959.1-5982.7,4,6,9,9,4,5,0,0,0,50,45,40,35,37,37,17,17
224,random_automata.hoa:5983.1-6017.7,4,7,19,19,4,2,1,1,0,339,298,339,298,113,113,109,109
225,random_automata.hoa:6018.1-6050.7,4,7,17,17,4,1,2,1,0,569,495,548,474,133,133,129,129
226,random_automata.hoa:6051.1-6079.7,4,7,13,13,4,1,0,0,0,64,56,46,38,48,48,32,32
227,random_automata.hoa:6080.1-6105.7,2,6,11,11,5,1,2,1,0,431,379,283,238,124,124,88,88
228,random_automata.hoa:6106.1-6137.7,2,7,16,16,5,3,2,1,0,4420,3796,3874,3264,746,746,620,620
229,random_automata.hoa:6138.1-6167.7,2,6,15,15,5,1,3,1,0,627,610,627,610,180,180,180,180
230,random_automata.hoa:6168.1-6193.7,2,6,11,11,5,1,2,1,0,223,203,223,203,89,89,89,89
231,random_automata.hoa:6194.1-6227.7,2,7,18,18,5,1,3,1,0,5162,4804,4671,4318,1041,1041,964,964
232,random_automata.hoa:6228.1-6259.7,2,7,16,16,5,1,1,1,0,553,512,553,512,159,159,159,159
233,random_automata.hoa:6260.1-6291.7,2,7,16,16,5,1,1,1,0,1563,1440,1557,1434,319,319,306,306
234,random_automata.hoa:6292.1-6324.7,2,7,17,17,5,1,4,1,0,677,642,488,453,164,164,138,138
235,random_automata.hoa:6325.1-6345.7,2,4,8,8,5,1,0,0,0,53,48,53,48,39,39,31,31
236,random_automata.hoa:6346.1-6370.7,2,5,11,11,5,1,1,1,0,355,319,259,223,117,117,69,69
237,random_automata.hoa:6371.1-6397.7,2,6,12,12,5,1,0,0,0,59,52,59,52,41,41,41,41
238,random_automata.hoa:6398.1-6424.7,2,6,12,12,5,1,4,1,0,442,412,350,320,131,131,127,127
239,random_automata.hoa:6425.1-6455.7,2,7,15,15,5,1,3,1,0,1751,1543,1484,1307,352,352,303,303
240,random_automata.hoa:6456.1-6477.7,2,4,9,9,5,1,2,1,0,646,598,374,336,163,163,106,106
241,random_automata.hoa:6478.1-6505.7,2,6,13,13,5,1,1,1,0,625,574,583,532,173,173,156,156
242,random_automata.hoa:6506.1-6524.7,2,3,7,7,5,1,2,1,0,315,297,151,134,77,77,53,53
243,random_automata.hoa:6525.1-6548.7,2,5,10,10,5,1,2,1,0,624,558,323,272,141,141,104,104
244,random_automata.hoa:6549.1-6571.7,2,4,10,10,5,1,1,1,0,225,209,225,209,85,85,85,85
245,random_automata.hoa:6572.1-6605.7,2,7,18,18,5,1,2,1,0,10556,9442,8856,7581,8611,8611,6747,6747
246,random_automata.hoa:6606.1-6633.7,2,6,13,13,5,1,3,1,0,1188,1071,618,532,221,221,133,133
247,random_automata.hoa:6634.1-6660.7,2,6,12,12,5,2,3,1,0,644,570,140,94,186,186,81,81
248,random_automata.hoa:6661.1-6684.7,2,5,10,10,5,1,2,1,0,799,732,64,50,160,160,18,18
249,random_automata.hoa:6685.1-6718.7,2,7,18,18,5,1,2,1,0,977,928,1083,976,235,235,227,227
250,random_automata.hoa:6719.1-6743.7,2,5,11,11,5,1,3,1,0,230,212,172,154,81,81,57,57
251,random_automata.hoa:6744.1-6768.7,3,5,11,11,5,1,3,1,0,341,318,341,318,102,102,102,102
252,random_automata.hoa:6769.1-6803.7,3,7,19,19,5,1,1,1,0,2530,2356,1209,1050,521,521,277,277
253,random_automata.hoa:6804.1-6823.7,3,4,7,7,5,1,0,0,0,45,40,35,30,23,23,15,15
254,random_automata.hoa:6824.1-6850.7,3,6,12,12,5,1,0,0,0,71,64,49,42,52,52,34,34
255,random_automata.hoa:6851.1-6875.7,3,6,10,10,5,1,1,1,0,272,238,272,238,100,100,100,100
256,random_automata.hoa:6876.1-6907.7,3,7,16,16,5,2,1,1,0,396,359,390,353,103,103,105,105
257,random_automata.hoa:6908.1-6935.7,3,6,13,13,5,2,2,1,0,411,368,349,309,93,93,91,91
258,random_automata.hoa:6936.1-6970.7,3,7,19,19,5,1,2,1,0,1786,1672,1206,1102,370,370,299,299
259,random_automata.hoa:6971.1-7003.7,3,7,17,17,5,1,1,1,0,443,394,433,384,145,145,137,137
260,random_automata.hoa:7004.1-7030.7,3,6,12,12,5,1,0,0,0,70,63,70,63,50,50,46,46
261,random_automata.hoa:7031.1-7055.7,3,5,11,11,5,1,0,0,0,61,55,57,51,39,39,26,26
262,random_automata.hoa:7056.1-7083.7,3,6,13,13,5,1,2,1,0,331,300,287,256,99,99,87,87
263,random_automata.hoa:7084.1-7116.7,3,7,17,17,5,1,1,1,0,568,526,572,530,155,155,157,157
264,random_automata.hoa:7117.1-7149.7,3,7,17,17,5,1,4,1,0,712,692,712,692,216,216,216,216
265,random_automata.hoa:7150.1-7175.7,3,5,12,12,5,1,1,1,0,135,122,131,118,36,36,36,36
266,random_automata.hoa:7176.1-7209.7,3,7,18,18,5,1,3,1,0,864,817,852,805,218,218,218,218
267,random_automata.hoa:7210.1-7238.7,3,6,14,14,5,1,0,0,0,71,64,71,64,55,55,55,55
