,input.source,input.ap,input.states,input.edges,input.transitions,Acceptance Sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,Base,Skip,Jump,SkipJump,BaseMin,SkipMin,JumpMin,SkipJumpMin
322,random_automata.hoa:8850.1-8882.7,3,7,17,17,6,1,2,1,0,1024,951,1138,1065,221,221,221,221
323,random_automata.hoa:8883.1-8903.7,4,4,8,8,6,1,0,0,0,65,60,55,50,46,46,32,32
324,random_automata.hoa:8904.1-8935.7,4,7,16,16,6,1,0,0,0,102,94,100,92,67,67,63,63
325,random_automata.hoa:8936.1-8961.7,4,5,12,12,6,1,1,1,0,566,523,507,464,130,130,129,129
326,random_automata.hoa:8962.1-8990.7,4,6,14,14,6,1,2,1,0,469,430,440,402,132,132,118,118
327,random_automata.hoa:8991.1-9019.7,4,6,14,14,6,1,0,0,0,71,64,63,56,46,46,46,46
328,random_automata.hoa:9020.1-9043.7,4,5,10,10,6,1,0,0,0,64,58,62,56,41,41,38,38
329,random_automata.hoa:9044.1-9075.7,4,7,16,16,6,1,1,1,0,936,858,822,738,180,180,168,168
330,random_automata.hoa:9076.1-9110.7,4,7,19,19,6,1,0,0,0,101,93,46,38,70,70,29,29
331,random_automata.hoa:9111.1-9137.7,4,5,13,13,6,1,0,0,0,74,68,74,68,49,49,49,49
332,random_automata.hoa:9138.1-9169.7,4,6,17,17,6,1,0,0,0,91,84,89,82,73,73,71,71
333,random_automata.hoa:9170.1-9199.7,4,6,15,15,6,1,1,1,0,1022,935,475,406,176,176,131,131
334,random_automata.hoa:9200.1-9229.7,4,6,15,15,6,1,0,0,0,87,80,87,80,57,57,43,43
335,random_automata.hoa:9230.1-9263.7,4,7,18,18,6,2,1,1,0,771,714,544,494,178,178,150,150
336,random_automata.hoa:9264.1-9293.7,4,7,14,14,6,2,1,1,0,331,316,299,284,117,117,105,105
337,random_automata.hoa:9294.1-9314.7,4,4,8,8,6,1,0,0,0,57,52,26,21,37,37,12,12
338,random_automata.hoa:9315.1-9336.7,4,5,8,8,6,1,1,1,0,190,174,57,41,93,93,17,17
339,random_automata.hoa:9337.1-9363.7,4,7,11,11,6,1,1,1,0,304,278,262,236,123,123,111,111
340,random_automata.hoa:9364.1-9387.7,4,5,10,10,6,1,0,0,0,73,67,67,61,52,52,21,21
341,random_automata.hoa:9388.1-9413.7,4,6,11,11,6,1,1,1,0,194,165,129,107,59,59,42,42
342,random_automata.hoa:9414.1-9447.7,4,7,18,18,6,1,1,1,0,437,394,437,394,73,73,59,59
343,random_automata.hoa:9448.1-9482.7,4,7,19,19,6,1,1,1,0,553,489,254,225,159,159,106,106
344,random_automata.hoa:9483.1-9512.7,4,7,14,14,6,1,1,1,0,539,467,592,520,135,135,108,108
