"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip","ok",0,0.114351,2,186,760,1002,1,64,68,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Jump","ok",0,0.150863,2,267,1026,1344,1,97,69,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip_Jump","ok",0,0.102601,2,195,783,1032,1,62,69,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Base_AF_Min","ok",0,0.116017,2,70,214,264,1,17,15,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip_AF_Min","ok",0,0.123017,2,70,214,264,1,17,15,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Jump_AF_Min","ok",0,0.128055,2,62,194,241,1,13,16,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.120967,2,62,194,241,1,13,16,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Base","ok",0,0.0770475,2,44,159,244,1,24,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip","ok",0,0.0691636,2,36,135,208,1,19,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Jump","ok",0,0.0731395,2,56,194,292,1,28,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_Jump","ok",0,0.0717704,2,35,129,204,1,18,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Base_AF_Min","ok",0,0.0727823,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_AF_Min","ok",0,0.0812429,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Jump_AF_Min","ok",0,0.079931,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0791451,2,16,41,58,1,6,2,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Base","ok",0,0.155496,2,638,2937,3304,1,259,188,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Skip","ok",0,0.133788,2,494,2332,2625,1,189,188,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Jump","ok",0,0.1618,2,635,2920,3280,1,245,185,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Skip_Jump","ok",0,0.139664,2,466,2187,2464,1,164,185,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Base_AF_Min","ok",0,0.296909,2,151,499,539,1,25,11,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Skip_AF_Min","ok",0,0.290232,2,151,499,539,1,25,11,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Jump_AF_Min","ok",0,0.270105,2,154,536,584,1,20,20,1,0
"random_automata.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.260119,2,154,536,584,1,20,20,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Base","ok",0,0.11058,2,166,682,924,1,90,65,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Skip","ok",0,0.103491,2,134,561,768,1,65,65,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Jump","ok",0,0.108572,2,155,622,844,1,97,56,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Skip_Jump","ok",0,0.0963887,2,115,477,656,1,66,56,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Base_AF_Min","ok",0,0.102611,2,53,142,176,1,21,10,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Skip_AF_Min","ok",0,0.10482,2,53,142,176,1,21,10,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Jump_AF_Min","ok",0,0.10585,2,46,129,163,1,22,11,1,0
"random_automata.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.096726,2,46,129,163,1,22,11,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Base","ok",0,0.082638,2,82,326,464,1,46,34,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip","ok",0,0.0770087,2,65,262,372,1,36,34,1,0
"random_automata.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SaG_Jump","ok",0,0.0872715,2,82,326,464,1,46,34,1,0
